"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"true","7162","fullscreen","0","null","8172","p1fu5vcb0jw","gecko","","","","","","","","","",""
"","3886","survey-text","1","2.0.0","12068","p1fu5vcb0jw","gecko","{""participant_id"":""gecko""}","","","","","","","","",""
"","13181","html-keyboard-response","2","2.0.0","25253","p1fu5vcb0jw","gecko"," ","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","","",""
"","1917","html-keyboard-response","3","2.0.0","27172","p1fu5vcb0jw","gecko"," ","<p>The next 20 statements will be about <b>Matter</b>. Press any key to continue.</p>","","","","","","","",""
"","5323","html-keyboard-response","4","2.0.0","32497","p1fu5vcb0jw","gecko","m","<div style=""font-size:30pt;"">A shadow can be cut in half.</div>","Matter","F","T","Divisibility","false","F","true",""
"","3030","html-keyboard-response","5","2.0.0","36044","p1fu5vcb0jw","gecko","m","<div style=""font-size:30pt;"">Atoms are visible to the naked eye.</div>","Matter","F","F","Atom","true","F","true",""
"","2961","html-keyboard-response","6","2.0.0","39515","p1fu5vcb0jw","gecko","z","<div style=""font-size:30pt;"">A grain of sand can be cut in half.</div>","Matter","T","F","Divisibility","false","T","true",""
"","2497","html-keyboard-response","7","2.0.0","42519","p1fu5vcb0jw","gecko","z","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Matter","T3","T3","AttentionCheck","true","T","false",""
"","1760","html-keyboard-response","8","2.0.0","44783","p1fu5vcb0jw","gecko","z","<div style=""font-size:30pt;"">Steel is denser than foam.</div>","Matter","T","T","Density","true","T","true",""
"","1439","html-keyboard-response","9","2.0.0","46736","p1fu5vcb0jw","gecko","m","<div style=""font-size:30pt;"">A cold penny is denser than a hot penny.</div>","Matter","T","F","Density","false","F","false",""
"","3927","html-keyboard-response","10","2.0.0","51173","p1fu5vcb0jw","gecko","m","<div style=""font-size:30pt;"">A pound of steel weighs more than a ton of steel.</div>","Matter","F","F","Weight","true","F","true",""
"","2163","html-keyboard-response","11","2.0.0","53844","p1fu5vcb0jw","gecko","z","<div style=""font-size:30pt;"">Atoms are the constituents of matter.</div>","Matter","T","T","Atom","true","T","true",""
"","2628","html-keyboard-response","12","2.0.0","56975","p1fu5vcb0jw","gecko","m","<div style=""font-size:30pt;"">A liter of water weighs more than a liter of air.</div>","Matter","T","T","Weight","true","F","false",""
"","1652","html-keyboard-response","13","2.0.0","59139","p1fu5vcb0jw","gecko","z","<div style=""font-size:30pt;"">Ice is denser than water.</div>","Matter","F","T","Density","false","T","false",""
