"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"true","1983","fullscreen","0","null","2987","p4srv8jy742","turtle","","","","","","","","","",""
"","12610","survey-text","1","2.0.0","15601","p4srv8jy742","turtle","{""participant_id"":""turtle""}","","","","","","","","",""
"","11695","html-keyboard-response","2","2.0.0","27298","p4srv8jy742","turtle"," ","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","","",""
"","3466","html-keyboard-response","3","2.0.0","30764","p4srv8jy742","turtle"," ","<p>The next 20 statements will be about <b>Mechanics</b>. Press any key to continue.</p>","","","","","","","",""
"","3414","html-keyboard-response","4","2.0.0","34180","p4srv8jy742","turtle","z","<div style=""font-size:30pt;"">Anvils fall through air faster than feathers.</div>","Mechanics","T","T","Gravity","true","T","true",""
"","1727","html-keyboard-response","5","2.0.0","36410","p4srv8jy742","turtle","z","<div style=""font-size:30pt;"">A moving bullet loses speed.</div>","Mechanics","T","T","Velocity","true","T","true",""
"","1496","html-keyboard-response","6","2.0.0","38409","p4srv8jy742","turtle","m","<div style=""font-size:30pt;"">Forces can be male or female.</div>","Mechanics","F","F","Force","true","F","true",""
"","2207","html-keyboard-response","7","2.0.0","41117","p4srv8jy742","turtle","m","<div style=""font-size:30pt;"">Color can be transferred from one object to another.</div>","Mechanics","F","F","Momentum","true","F","true",""
"","1431","html-keyboard-response","8","2.0.0","43052","p4srv8jy742","turtle","z","<div style=""font-size:30pt;"">Energy can be transferred from one object to another.</div>","Mechanics","T","F","Momentum","false","T","true",""
"","2571","html-keyboard-response","9","2.0.0","46126","p4srv8jy742","turtle","z","<div style=""font-size:30pt;"">Constant speed requires constant acceleration.</div>","Mechanics","F","F","Acceleration","true","T","false",""
