"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"true","2054","fullscreen","0","null","3059","p96ca4x9ljz","lion","","","","","","","","","",""
"","2705","survey-text","1","2.0.0","5770","p96ca4x9ljz","lion","{""participant_id"":""lion""}","","","","","","","","",""
"","7751","html-keyboard-response","2","2.0.0","13522","p96ca4x9ljz","lion"," ","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","","",""
"","1687","html-keyboard-response","3","2.0.0","15209","p96ca4x9ljz","lion"," ","<p>The next 20 statements will be about <b>Physiology</b>. Press any key to continue.</p>","","","","","","","",""
"","3391","html-keyboard-response","4","2.0.0","18601","p96ca4x9ljz","lion","z","<div style=""font-size:30pt;"">Caterpillars can reproduce.</div>","Physiology","F","T","Reproduction","false","T","false",""
"","1603","html-keyboard-response","5","2.0.0","20706","p96ca4x9ljz","lion","z","<div style=""font-size:30pt;"">Turtles can die.</div>","Physiology","T","T","Death","true","T","true",""
"","1706","html-keyboard-response","6","2.0.0","22914","p96ca4x9ljz","lion","z","<div style=""font-size:30pt;"">People turn food into energy.</div>","Physiology","T","T","Metabolism","true","T","true",""
"","1754","html-keyboard-response","7","2.0.0","25170","p96ca4x9ljz","lion","z","<div style=""font-size:30pt;"">A baby can be a niece or a nephew.</div>","Physiology","T","T","Kinship","true","T","true",""
"","2401","html-keyboard-response","8","2.0.0","28074","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">Screwdrivers can die.</div>","Physiology","F","F","Death","true","F","true",""
"","6586","html-keyboard-response","9","2.0.0","35162","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">A baby can be identical to an older sibling.</div>","Physiology","F","T","Kinship","false","F","true",""
"","1370","html-keyboard-response","10","2.0.0","37034","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">Chairs can reproduce.</div>","Physiology","F","F","Reproduction","true","F","true",""
"","1034","html-keyboard-response","11","2.0.0","38570","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">Clouds can die.</div>","Physiology","F","T","Death","false","F","true",""
"","1202","html-keyboard-response","12","2.0.0","40274","p96ca4x9ljz","lion","z","<div style=""font-size:30pt;"">Tigers can reproduce.</div>","Physiology","T","T","Reproduction","true","T","true",""
"","1467","html-keyboard-response","13","2.0.0","42242","p96ca4x9ljz","lion","z","<div style=""font-size:30pt;"">Coral is alive.</div>","Physiology","T","F","Life","false","T","true",""
"","2154","html-keyboard-response","14","2.0.0","44898","p96ca4x9ljz","lion","t","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Physiology","T3","T3","AttentionCheck","true","T3","true",""
"","3018","html-keyboard-response","15","2.0.0","48419","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">Rocks are alive.</div>","Physiology","F","F","Life","true","F","true",""
"","3960","html-keyboard-response","16","2.0.0","52881","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">Ferns can reproduce.</div>","Physiology","T","F","Reproduction","false","F","false",""
"","4211","html-keyboard-response","17","2.0.0","57594","p96ca4x9ljz","lion","z","<div style=""font-size:30pt;"">Fish are alive.</div>","Physiology","T","T","Life","true","T","true",""
"","1420","html-keyboard-response","18","2.0.0","59515","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">Rocks turn food into energy.</div>","Physiology","F","F","Metabolism","true","F","true",""
"","1217","html-keyboard-response","19","2.0.0","61234","p96ca4x9ljz","lion","z","<div style=""font-size:30pt;"">Mushrooms can die.</div>","Physiology","T","F","Death","false","T","true",""
"","1058","html-keyboard-response","20","2.0.0","62795","p96ca4x9ljz","lion","z","<div style=""font-size:30pt;"">Plants turn food into energy.</div>","Physiology","F","T","Metabolism","false","T","false",""
"","1186","html-keyboard-response","21","2.0.0","64483","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">The sun is alive.</div>","Physiology","F","T","Life","false","F","true",""
"","2122","html-keyboard-response","22","2.0.0","67107","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">A baby can be a mother or a father.</div>","Physiology","F","F","Kinship","true","F","true",""
"","2915","html-keyboard-response","23","2.0.0","70523","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">A baby can be an uncle or an aunt.</div>","Physiology","T","F","Kinship","false","F","false",""
"","1706","html-keyboard-response","24","2.0.0","72731","p96ca4x9ljz","lion","z","<div style=""font-size:30pt;"">Bacteria turn food into energy.</div>","Physiology","T","F","Metabolism","false","T","true",""
"","1266","html-keyboard-response","25","2.0.0","74498","p96ca4x9ljz","lion"," ","<p>The next 20 statements will be about <b>Genetics</b>. Press any key to continue.</p>","","","","","","","",""
"","4256","html-keyboard-response","26","2.0.0","78755","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">Immunity to chickenpox is heritable.</div>","Genetics","F","T","Heritability","false","F","true",""
"","1906","html-keyboard-response","27","2.0.0","81163","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">Sunscreen can change one's genome.</div>","Genetics","F","F","Mutation","true","F","true",""
"","2234","html-keyboard-response","28","2.0.0","83899","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">Exercise can change one's genome.</div>","Genetics","F","T","Mutation","false","F","true",""
"","1699","html-keyboard-response","29","2.0.0","86099","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">Men have more chromosomes than women.</div>","Genetics","F","F","Chromosome","true","F","true",""
"","1338","html-keyboard-response","30","2.0.0","87939","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">Pierced ears are heritable.</div>","Genetics","F","F","Heritability","true","F","true",""
"","1635","html-keyboard-response","31","2.0.0","90075","p96ca4x9ljz","lion","t","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Genetics","T3","T3","AttentionCheck","true","T3","true",""
"","5770","html-keyboard-response","32","2.0.0","96348","p96ca4x9ljz","lion","z","<div style=""font-size:30pt;"">Radiation can change one's genome.</div>","Genetics","T","T","Mutation","true","T","true",""
"","6283","html-keyboard-response","33","2.0.0","103132","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">Skin cells have more chromosomes than egg cells.</div>","Genetics","T","F","Chromosome","false","F","false",""
"","4235","html-keyboard-response","34","2.0.0","107868","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">Genes that code for eye color can be found in the eye.</div>","Genetics","T","T","Expression","true","F","false",""
"","2074","html-keyboard-response","35","2.0.0","110444","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">Genes that code for eye color can be found in the liver.</div>","Genetics","T","F","Expression","false","F","false",""
"","3348","html-keyboard-response","36","2.0.0","114294","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">A blue-eyed baby must have two blue-eyed parents.</div>","Genetics","F","T","Dominance","false","F","true",""
"","1985","html-keyboard-response","37","2.0.0","116780","p96ca4x9ljz","lion","z","<div style=""font-size:30pt;"">Two brown-eyed parents could have a blue-eyed baby.</div>","Genetics","T","F","Dominance","false","T","true",""
"","3044","html-keyboard-response","38","2.0.0","120325","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">Humans have more chromosomes than mosquitoes.</div>","Genetics","T","T","Chromosome","true","F","false",""
"","5297","html-keyboard-response","39","2.0.0","126125","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">Genes that code for eye color can be found in tears.</div>","Genetics","F","T","Expression","false","F","true",""
"","2090","html-keyboard-response","40","2.0.0","128717","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">Adults have more chromosomes than children.</div>","Genetics","F","T","Chromosome","false","F","true",""
"","1538","html-keyboard-response","41","2.0.0","130757","p96ca4x9ljz","lion","z","<div style=""font-size:30pt;"">Intelligence is heritable.</div>","Genetics","T","F","Heritability","false","T","true",""
"","3121","html-keyboard-response","42","2.0.0","134381","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">Two blue-eyed parents could have a brown-eyed baby.</div>","Genetics","F","F","Dominance","true","F","true",""
"","2395","html-keyboard-response","43","2.0.0","137277","p96ca4x9ljz","lion","z","<div style=""font-size:30pt;"">Hair color is heritable.</div>","Genetics","T","T","Heritability","true","T","true",""
"","2330","html-keyboard-response","44","2.0.0","140109","p96ca4x9ljz","lion","z","<div style=""font-size:30pt;"">Genes that code for eye color can be found in hair.</div>","Genetics","F","F","Expression","true","T","false",""
"","1889","html-keyboard-response","45","2.0.0","142500","p96ca4x9ljz","lion","m","<div style=""font-size:30pt;"">Viruses can change one's genome.</div>","Genetics","T","F","Mutation","false","F","false",""
"","2611","html-keyboard-response","46","2.0.0","145613","p96ca4x9ljz","lion","z","<div style=""font-size:30pt;"">Two brown-eyed parents could have a brown-eyed baby.</div>","Genetics","T","T","Dominance","true","T","true",""
