"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","correct","question_order"
"true","12304","fullscreen","0","null","13309","pcj39q70rex","fawn","","","","","","","","",""
"","3849","survey-text","1","2.0.0","17165","pcj39q70rex","fawn","{""participant_id"":""fawn""}","","","","","","","",""
"","10755","html-keyboard-response","2","2.0.0","27924","pcj39q70rex","fawn"," ","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","",""
"","4262","html-keyboard-response","3","2.0.0","32186","pcj39q70rex","fawn"," ","<p>The next 20 statements will be about <b>Thermodynamics</b>. Press any key to continue.</p>","","","","","","",""
"","8235","html-keyboard-response","4","2.0.0","40424","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Heat increases an object's weight.</div>","Thermodynamics","F","T","Thermal expansion","false","false",""
"","4105","html-keyboard-response","5","2.0.0","45032","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Heat increases an object's temperature.</div>","Thermodynamics","T","T","Thermal expansion","true","false",""
"","2730","html-keyboard-response","6","2.0.0","48264","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Gravity has heat.</div>","Thermodynamics","F","F","Heat","true","false",""
"","5069","html-keyboard-response","7","2.0.0","53835","pcj39q70rex","fawn","T","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Thermodynamics","T3","T3","AttentionCheck","true","false",""
"","5973","html-keyboard-response","8","2.0.0","60311","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Coats produce heat.</div>","Thermodynamics","F","T","Heat source","false","false",""
"","5832","html-keyboard-response","9","2.0.0","66646","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Water transfers heat to steam.</div>","Thermodynamics","F","T","Heat transfer","false","false",""
"","1814","html-keyboard-response","10","2.0.0","68963","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Ovens produce heat.</div>","Thermodynamics","T","T","Heat source","true","false",""
"","1062","html-keyboard-response","11","2.0.0","70528","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">The sun has heat.</div>","Thermodynamics","T","T","Heat","true","false",""
"","3206","html-keyboard-response","12","2.0.0","74236","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Ice has a lower temperature than water.</div>","Thermodynamics","T","T","Temperature","true","false",""
"","2119","html-keyboard-response","13","2.0.0","76857","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Heat increases an object's size.</div>","Thermodynamics","T","F","Thermal expansion","false","false",""
"","1735","html-keyboard-response","14","2.0.0","79094","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Ice has heat.</div>","Thermodynamics","T","F","Heat","false","false",""
"","6777","html-keyboard-response","15","2.0.0","86373","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Two cups of ice have a lower temperature than one.</div>","Thermodynamics","F","T","Temperature","false","false",""
"","4694","html-keyboard-response","16","2.0.0","91570","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Cold objects transfer heat to even colder objects.</div>","Thermodynamics","T","F","Heat transfer","false","false",""
"","3919","html-keyboard-response","17","2.0.0","95991","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Pressure produces heat.</div>","Thermodynamics","T","F","Heat source","false","false",""
