"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"true","962","fullscreen","0","null","1965","pddm2jjfvps","crow","","","","","","","","","",""
"","1828","survey-text","1","2.0.0","3798","pddm2jjfvps","crow","{""participant_id"":""crow""}","","","","","","","","",""
"","6629","html-keyboard-response","2","2.0.0","10430","pddm2jjfvps","crow"," ","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","","",""
"","1522","html-keyboard-response","3","2.0.0","11953","pddm2jjfvps","crow"," ","<p>The next 20 statements will be about <b>Astronomy</b>. Press any key to continue.</p>","","","","","","","",""
"","2078","html-keyboard-response","4","2.0.0","14033","pddm2jjfvps","crow","z","<div style=""font-size:30pt;"">Phases of the moon are caused by changes in illumination.</div>","Astronomy","T","T","Lunar phase","true","T","true",""
"","2286","html-keyboard-response","5","2.0.0","16821","pddm2jjfvps","crow","z","<div style=""font-size:30pt;"">Phases of the moon are caused by the moon's orbit.</div>","Astronomy","T","F","Lunar phase","false","T","true",""
"","1613","html-keyboard-response","6","2.0.0","18937","pddm2jjfvps","crow","z","<div style=""font-size:30pt;"">Planets are more massive than moons.</div>","Astronomy","T","T","Planet","true","T","true",""
"","1039","html-keyboard-response","7","2.0.0","20477","pddm2jjfvps","crow","z","<div style=""font-size:30pt;"">The earth's tilt causes the seasons.</div>","Astronomy","T","F","Season","false","T","true",""
"","6125","html-keyboard-response","8","2.0.0","27105","pddm2jjfvps","crow","z","<div style=""font-size:30pt;"">The earth's rotation causes the seasons.</div>","Astronomy","F","F","Season","true","T","false",""
"","1658","html-keyboard-response","9","2.0.0","29265","pddm2jjfvps","crow","m","<div style=""font-size:30pt;"">The sun revolves around the moon.</div>","Astronomy","F","F","Solar system","true","F","true",""
"","3936","html-keyboard-response","10","2.0.0","33702","pddm2jjfvps","crow","z","<div style=""font-size:30pt;"">Phases of the moon are caused by the earth's shadow.</div>","Astronomy","F","T","Lunar phase","false","T","false",""
"","4265","html-keyboard-response","11","2.0.0","38469","pddm2jjfvps","crow","z","<div style=""font-size:30pt;"">Planets are more massive than stars.</div>","Astronomy","F","T","Planet","false","T","false",""
"","1982","html-keyboard-response","12","2.0.0","40952","pddm2jjfvps","crow","m","<div style=""font-size:30pt;"">A change in overall sunlight causes the seasons.</div>","Astronomy","T","T","Season","true","F","false",""
"","4379","html-keyboard-response","13","2.0.0","45833","pddm2jjfvps","crow","m","<div style=""font-size:30pt;"">The earth's distance from the sun causes the seasons.</div>","Astronomy","F","T","Season","false","F","true",""
"","1597","html-keyboard-response","14","2.0.0","47932","pddm2jjfvps","crow","z","<div style=""font-size:30pt;"">The earth revolves around the sun.</div>","Astronomy","T","F","Solar system","false","T","true",""
"","1098","html-keyboard-response","15","2.0.0","49532","pddm2jjfvps","crow","m","<div style=""font-size:30pt;"">The sun produces gravity.</div>","Astronomy","T","F","Star","false","F","false",""
"","1562","html-keyboard-response","16","2.0.0","51596","pddm2jjfvps","crow","t","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Astronomy","T3","T3","AttentionCheck","true","T3","true",""
"","2094","html-keyboard-response","17","2.0.0","54192","pddm2jjfvps","crow","m","<div style=""font-size:30pt;"">Asteroids are more massive than planets.</div>","Astronomy","F","F","Planet","true","F","true",""
"","1110","html-keyboard-response","18","2.0.0","55804","pddm2jjfvps","crow","m","<div style=""font-size:30pt;"">The sun produces sound.</div>","Astronomy","F","F","Star","true","F","true",""
"","1028","html-keyboard-response","19","2.0.0","57334","pddm2jjfvps","crow","m","<div style=""font-size:30pt;"">The sun revolves around the earth.</div>","Astronomy","F","T","Solar system","false","F","true",""
"","1226","html-keyboard-response","20","2.0.0","59063","pddm2jjfvps","crow","m","<div style=""font-size:30pt;"">Stars are more massive than planets.</div>","Astronomy","T","F","Planet","false","F","false",""
"","1718","html-keyboard-response","21","2.0.0","61283","pddm2jjfvps","crow","z","<div style=""font-size:30pt;"">The moon revolves around the earth.</div>","Astronomy","T","T","Solar system","true","T","true",""
"","918","html-keyboard-response","22","2.0.0","62703","pddm2jjfvps","crow","z","<div style=""font-size:30pt;"">The sun produces light.</div>","Astronomy","T","T","Star","true","T","true",""
"","1271","html-keyboard-response","23","2.0.0","64475","pddm2jjfvps","crow","m","<div style=""font-size:30pt;"">The moon produces light.</div>","Astronomy","F","T","Star","false","F","true",""
"","1186","html-keyboard-response","24","2.0.0","66163","pddm2jjfvps","crow","m","<div style=""font-size:30pt;"">Phases of the moon are caused by clouds.</div>","Astronomy","F","F","Lunar phase","true","F","true",""
"","1297","html-keyboard-response","25","2.0.0","67963","pddm2jjfvps","crow"," ","<p>The next 20 statements will be about <b>Fractions</b>. Press any key to continue.</p>","","","","","","","",""
"","1531","html-keyboard-response","26","2.0.0","69495","pddm2jjfvps","crow","z","<div style=""font-size:30pt;"">All fractions are expressible as decimals.</div>","Fractions","F","T","Conversion","false","T","false",""
"","1426","html-keyboard-response","27","2.0.0","71423","pddm2jjfvps","crow","t","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Fractions","T3","T3","AttentionCheck","true","T3","true",""
