"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"true","20840","fullscreen","0","null","21858","per55kmnnab","tortoise","","","","","","","","","",""
"","2486","survey-text","1","2.0.0","24353","per55kmnnab","tortoise","{""participant_id"":""tortoise""}","","","","","","","","",""
"","10075","html-keyboard-response","2","2.0.0","34431","per55kmnnab","tortoise","m","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","","",""
"","3043","html-keyboard-response","3","2.0.0","37474","per55kmnnab","tortoise","m","<p>The next 20 statements will be about <b>Genetics</b>. Press any key to continue.</p>","","","","","","","",""
"","4516","html-keyboard-response","4","2.0.0","41992","per55kmnnab","tortoise","m","<div style=""font-size:30pt;"">Genes that code for eye color can be found in the liver.</div>","Genetics","T","F","Expression","false","F","false",""
"","4626","html-keyboard-response","5","2.0.0","47120","per55kmnnab","tortoise","m","<div style=""font-size:30pt;"">A blue-eyed baby must have two blue-eyed parents.</div>","Genetics","F","T","Dominance","false","F","true",""
"","4635","html-keyboard-response","6","2.0.0","52265","per55kmnnab","tortoise","z","<div style=""font-size:30pt;"">Two blue-eyed parents could have a brown-eyed baby.</div>","Genetics","F","F","Dominance","true","T","false",""
"","5987","html-keyboard-response","7","2.0.0","58759","per55kmnnab","tortoise","z","<div style=""font-size:30pt;"">Humans have more chromosomes than mosquitoes.</div>","Genetics","T","T","Chromosome","true","T","true",""
"","4382","html-keyboard-response","8","2.0.0","63651","per55kmnnab","tortoise","m","<div style=""font-size:30pt;"">Genes that code for eye color can be found in tears.</div>","Genetics","F","T","Expression","false","F","true",""
"","20829","html-keyboard-response","9","2.0.0","84989","per55kmnnab","tortoise","z","<div style=""font-size:30pt;"">Hair color is heritable.</div>","Genetics","T","T","Heritability","true","T","true",""
"","3454","html-keyboard-response","10","2.0.0","88955","per55kmnnab","tortoise","t","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Genetics","T3","T3","AttentionCheck","true","T3","true",""
"","5770","html-keyboard-response","11","2.0.0","95235","per55kmnnab","tortoise","z","<div style=""font-size:30pt;"">Two brown-eyed parents could have a brown-eyed baby.</div>","Genetics","T","T","Dominance","true","T","true",""
