"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"true","2746","fullscreen","0","null","3750","pfxpsl5xrad","otter","","","","","","","","","",""
"","2867","survey-text","1","2.0.0","6620","pfxpsl5xrad","otter","{""participant_id"":""otter""}","","","","","","","","",""
"","12712","html-keyboard-response","2","2.0.0","19333","pfxpsl5xrad","otter","x","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","","",""
"","4356","html-keyboard-response","3","2.0.0","23690","pfxpsl5xrad","otter"," ","<p>The next 20 statements will be about <b>Mechanics</b>. Press any key to continue.</p>","","","","","","","",""
"","6401","html-keyboard-response","4","2.0.0","30092","pfxpsl5xrad","otter","z","<div style=""font-size:30pt;"">Bright objects fall through air faster than dark objects.</div>","Mechanics","F","F","Gravity","true","T","false",""
"","1812","html-keyboard-response","5","2.0.0","32405","pfxpsl5xrad","otter","z","<div style=""font-size:30pt;"">Constant motion requires constant force.</div>","Mechanics","F","T","Acceleration","false","T","false",""
"","1131","html-keyboard-response","6","2.0.0","34039","pfxpsl5xrad","otter","z","<div style=""font-size:30pt;"">Forces can be strong or weak.</div>","Mechanics","T","T","Force","true","T","true",""
"","1672","html-keyboard-response","7","2.0.0","36212","pfxpsl5xrad","otter","m","<div style=""font-size:30pt;"">Forces can be male or female.</div>","Mechanics","F","F","Force","true","F","true",""
"","2165","html-keyboard-response","8","2.0.0","38877","pfxpsl5xrad","otter","t","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Mechanics","T3","T3","AttentionCheck","true","T3","true",""
"","3065","html-keyboard-response","9","2.0.0","42444","pfxpsl5xrad","otter","m","<div style=""font-size:30pt;"">Pointy objects fall through air faster than flat objects.</div>","Mechanics","T","F","Gravity","false","F","false",""
"","2143","html-keyboard-response","10","2.0.0","45088","pfxpsl5xrad","otter","z","<div style=""font-size:30pt;"">A moving bullet loses force.</div>","Mechanics","F","T","Velocity","false","T","false",""
"","2915","html-keyboard-response","11","2.0.0","48505","pfxpsl5xrad","otter","z","<div style=""font-size:30pt;"">Heavy balls fall through air faster than light balls.</div>","Mechanics","F","T","Gravity","false","T","false",""
"","1256","html-keyboard-response","12","2.0.0","50263","pfxpsl5xrad","otter","z","<div style=""font-size:30pt;"">Forces can be balanced or unbalanced.</div>","Mechanics","T","F","Force","false","T","true",""
"","2379","html-keyboard-response","13","2.0.0","53143","pfxpsl5xrad","otter","z","<div style=""font-size:30pt;"">Anvils fall through air faster than feathers.</div>","Mechanics","T","T","Gravity","true","T","true",""
"","5393","html-keyboard-response","14","2.0.0","59039","pfxpsl5xrad","otter","z","<div style=""font-size:30pt;"">A moving bullet loses height.</div>","Mechanics","T","F","Velocity","false","T","true",""
