"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"true","120819","fullscreen","0","null","121823","ph0b0mc379o","swan","","","","","","","","","",""
"","2910","survey-text","1","2.0.0","124737","ph0b0mc379o","swan","{""participant_id"":""swan""}","","","","","","","","",""
"","17873","html-keyboard-response","2","2.0.0","142611","ph0b0mc379o","swan","m","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","","",""
"","1864","html-keyboard-response","3","2.0.0","144477","ph0b0mc379o","swan","z","<p>The next 20 statements will be about <b>Mechanics</b>. Press any key to continue.</p>","","","","","","","",""
"","2514","html-keyboard-response","4","2.0.0","146993","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">Forces can be transferred from one object to another.</div>","Mechanics","F","T","Momentum","false","T","false",""
"","1401","html-keyboard-response","5","2.0.0","148896","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">Forces can be balanced or unbalanced.</div>","Mechanics","T","F","Force","false","T","true",""
"","1278","html-keyboard-response","6","2.0.0","150675","ph0b0mc379o","swan","m","<div style=""font-size:30pt;"">Forces can be straight or curved.</div>","Mechanics","F","T","Force","false","F","true",""
"","1393","html-keyboard-response","7","2.0.0","152570","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">Color can be transferred from one object to another.</div>","Mechanics","F","F","Momentum","true","T","false",""
"","1667","html-keyboard-response","8","2.0.0","154739","ph0b0mc379o","swan","m","<div style=""font-size:30pt;"">Constant force can yield constant rest.</div>","Mechanics","T","F","Acceleration","false","F","false",""
"","1590","html-keyboard-response","9","2.0.0","156832","ph0b0mc379o","swan","m","<div style=""font-size:30pt;"">Anvils fall through air faster than feathers.</div>","Mechanics","T","T","Gravity","true","F","false",""
"","1463","html-keyboard-response","10","2.0.0","158797","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">A moving bullet loses height.</div>","Mechanics","T","F","Velocity","false","T","true",""
"","2465","html-keyboard-response","11","2.0.0","161765","ph0b0mc379o","swan","z","<div style=""font-size:30pt;"">Constant acceleration requires constant force.</div>","Mechanics","T","T","Acceleration","true","T","true",""
