"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"true","45640","fullscreen","0","null","46644","phfrqkw4sve","wombat","","","","","","","","","",""
"","10734","survey-text","1","2.0.0","57382","phfrqkw4sve","wombat","{""participant_id"":""wombat""}","","","","","","","","",""
"","7286","html-keyboard-response","2","2.0.0","64670","phfrqkw4sve","wombat","z","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","","",""
"","1721","html-keyboard-response","3","2.0.0","66391","phfrqkw4sve","wombat","z","<p>The next 20 statements will be about <b>Germs</b>. Press any key to continue.</p>","","","","","","","",""
"","2758","html-keyboard-response","4","2.0.0","69152","phfrqkw4sve","wombat","z","<div style=""font-size:30pt;"">Urine contains germs.</div>","Germs","F","T","Contamination","false","T","false",""
"","2019","html-keyboard-response","5","2.0.0","71672","phfrqkw4sve","wombat","z","<div style=""font-size:30pt;"">Germs enter the body through cuts.</div>","Germs","T","T","Infection","true","T","true",""
"","1053","html-keyboard-response","6","2.0.0","73227","phfrqkw4sve","wombat","z","<div style=""font-size:30pt;"">Germs have a shape.</div>","Germs","T","T","Microbe","true","T","true",""
"","3052","html-keyboard-response","7","2.0.0","76782","phfrqkw4sve","wombat","z","<div style=""font-size:30pt;"">Being depressed can make a person sick.</div>","Germs","T","F","Contagion","false","T","true",""
"","5828","html-keyboard-response","8","2.0.0","83113","phfrqkw4sve","wombat","m","<div style=""font-size:30pt;"">Germs enter the body through the eyes.</div>","Germs","T","F","Infection","false","F","false",""
"","1474","html-keyboard-response","9","2.0.0","85088","phfrqkw4sve","wombat","m","<div style=""font-size:30pt;"">Being happy can make a person sick.</div>","Germs","F","F","Contagion","true","F","true",""
"","1777","html-keyboard-response","10","2.0.0","87367","phfrqkw4sve","wombat","m","<div style=""font-size:30pt;"">Kindness kills germs.</div>","Germs","F","F","Sterilization","true","F","true",""
"","1239","html-keyboard-response","11","2.0.0","89109","phfrqkw4sve","wombat","z","<div style=""font-size:30pt;"">Rotting meat contains germs.</div>","Germs","T","T","Contamination","true","T","true",""
"","4640","html-keyboard-response","12","2.0.0","94251","phfrqkw4sve","wombat","z","<div style=""font-size:30pt;"">Germs enter the body through the skin.</div>","Germs","F","T","Infection","false","T","false",""
"","6669","html-keyboard-response","13","2.0.0","101422","phfrqkw4sve","wombat","m","<div style=""font-size:30pt;"">Germs have an odor.</div>","Germs","F","T","Microbe","false","F","true",""
"","1387","html-keyboard-response","14","2.0.0","103311","phfrqkw4sve","wombat","z","<div style=""font-size:30pt;"">Being sneezed on can make a person sick.</div>","Germs","T","T","Contagion","true","T","true",""
"","1042","html-keyboard-response","15","2.0.0","104856","phfrqkw4sve","wombat","z","<div style=""font-size:30pt;"">Alcohol kills germs.</div>","Germs","T","T","Sterilization","true","T","true",""
"","2222","html-keyboard-response","16","2.0.0","107580","phfrqkw4sve","wombat","m","<div style=""font-size:30pt;"">Germs enter the body through the hair.</div>","Germs","F","F","Infection","true","F","true",""
"","3733","html-keyboard-response","17","2.0.0","111815","phfrqkw4sve","wombat","m","<div style=""font-size:30pt;"">Sunshine contains germs.</div>","Germs","F","F","Contamination","true","F","true",""
"","1161","html-keyboard-response","18","2.0.0","113479","phfrqkw4sve","wombat","z","<div style=""font-size:30pt;"">Heat kills germs.</div>","Germs","T","F","Sterilization","false","T","true",""
"","6048","html-keyboard-response","19","2.0.0","120028","phfrqkw4sve","wombat","t","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Germs","T3","T3","AttentionCheck","true","T3","true",""
"","1951","html-keyboard-response","20","2.0.0","122482","phfrqkw4sve","wombat","z","<div style=""font-size:30pt;"">Dish sponges contain germs.</div>","Germs","T","F","Contamination","false","T","true",""
"","1001","html-keyboard-response","21","2.0.0","123985","phfrqkw4sve","wombat","m","<div style=""font-size:30pt;"">Germs have feelings.</div>","Germs","F","F","Microbe","true","F","true",""
"","2616","html-keyboard-response","22","2.0.0","127103","phfrqkw4sve","wombat","z","<div style=""font-size:30pt;"">Being cold can make a person sick.</div>","Germs","F","T","Contagion","false","T","false",""
"","7472","html-keyboard-response","23","2.0.0","135077","phfrqkw4sve","wombat","z","<div style=""font-size:30pt;"">Germs have DNA.</div>","Germs","T","F","Microbe","false","T","true",""
"","1795","html-keyboard-response","24","2.0.0","137373","phfrqkw4sve","wombat","m","<div style=""font-size:30pt;"">Water kills germs.</div>","Germs","F","T","Sterilization","false","F","true",""
"","1782","html-keyboard-response","25","2.0.0","139657","phfrqkw4sve","wombat","k","<p>The next 20 statements will be about <b>Mechanics</b>. Press any key to continue.</p>","","","","","","","",""
