"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"true","2721","fullscreen","0","null","3726","pk5a2wdn3tp","owl","","","","","","","","","",""
"","3558","survey-text","1","2.0.0","7289","pk5a2wdn3tp","owl","{""participant_id"":""owl""}","","","","","","","","",""
"","6320","html-keyboard-response","2","2.0.0","13610","pk5a2wdn3tp","owl"," ","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","","",""
"","2796","html-keyboard-response","3","2.0.0","16408","pk5a2wdn3tp","owl"," ","<p>The next 20 statements will be about <b>Evolution</b>. Press any key to continue.</p>","","","","","","","",""
"","2379","html-keyboard-response","4","2.0.0","18788","pk5a2wdn3tp","owl","m","<div style=""font-size:30pt;"">Evolution requires climate stability.</div>","Evolution","F","F","Variation","true","F","true",""
"","2171","html-keyboard-response","5","2.0.0","21462","pk5a2wdn3tp","owl","m","<div style=""font-size:30pt;"">Individual organisms evolve.</div>","Evolution","F","T","Adaptation","false","F","true",""
"","1594","html-keyboard-response","6","2.0.0","23558","pk5a2wdn3tp","owl","m","<div style=""font-size:30pt;"">Humans are descended from chimpanzees.</div>","Evolution","F","T","Phylogeny","false","F","true",""
"","2662","html-keyboard-response","7","2.0.0","26722","pk5a2wdn3tp","owl","m","<div style=""font-size:30pt;"">Most organisms have plenty to eat.</div>","Evolution","F","T","Selection","false","F","true",""
"","1760","html-keyboard-response","8","2.0.0","28984","pk5a2wdn3tp","owl","z","<div style=""font-size:30pt;"">Most organisms live in temperate climates.</div>","Evolution","F","F","Selection","true","T","false",""
"","2011","html-keyboard-response","9","2.0.0","31497","pk5a2wdn3tp","owl","z","<div style=""font-size:30pt;"">Evolution requires differential survival.</div>","Evolution","T","T","Variation","true","T","true",""
"","1547","html-keyboard-response","10","2.0.0","33547","pk5a2wdn3tp","owl","z","<div style=""font-size:30pt;"">Inanimate objects evolve.</div>","Evolution","F","F","Adaptation","true","T","false",""
"","1025","html-keyboard-response","11","2.0.0","35074","pk5a2wdn3tp","owl","z","<div style=""font-size:30pt;"">Evolution requires within-species variation.</div>","Evolution","T","F","Variation","false","T","true",""
"","2513","html-keyboard-response","12","2.0.0","38090","pk5a2wdn3tp","owl","z","<div style=""font-size:30pt;"">Evolution requires long periods of time.</div>","Evolution","F","T","Variation","false","T","false",""
"","3016","html-keyboard-response","13","2.0.0","41608","pk5a2wdn3tp","owl","z","<div style=""font-size:30pt;"">Whales are more closely related to humans than fish.</div>","Evolution","T","F","Common ancestry","false","T","true",""
"","3779","html-keyboard-response","14","2.0.0","45889","pk5a2wdn3tp","owl","t","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Evolution","T3","T3","AttentionCheck","true","T3","true",""
"","1815","html-keyboard-response","15","2.0.0","48207","pk5a2wdn3tp","owl","m","<div style=""font-size:30pt;"">Computer viruses evolve.</div>","Evolution","T","F","Adaptation","false","F","false",""
"","998","html-keyboard-response","16","2.0.0","49707","pk5a2wdn3tp","owl","z","<div style=""font-size:30pt;"">Most organisms are adapted to their environment.</div>","Evolution","T","T","Selection","true","T","true",""
"","2407","html-keyboard-response","17","2.0.0","52616","pk5a2wdn3tp","owl","z","<div style=""font-size:30pt;"">Humans are more closely related to apes than monkeys.</div>","Evolution","T","T","Common ancestry","true","T","true",""
"","2163","html-keyboard-response","18","2.0.0","55282","pk5a2wdn3tp","owl","m","<div style=""font-size:30pt;"">Humans are descended from tree-dwelling creatures.</div>","Evolution","T","T","Phylogeny","true","F","false",""
