"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"true","6366","fullscreen","0","null","7376","pmawevtx74m","sloth","","","","","","","","","",""
"","1886","survey-text","1","2.0.0","9267","pmawevtx74m","sloth","{""participant_id"":""sloth""}","","","","","","","","",""
"","10492","html-keyboard-response","2","2.0.0","19761","pmawevtx74m","sloth"," ","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","","",""
"","1867","html-keyboard-response","3","2.0.0","21629","pmawevtx74m","sloth"," ","<p>The next 20 statements will be about <b>Thermodynamics</b>. Press any key to continue.</p>","","","","","","","",""
"","2484","html-keyboard-response","4","2.0.0","24115","pmawevtx74m","sloth","m","<div style=""font-size:30pt;"">Two cups of ice have a lower temperature than one.</div>","Thermodynamics","F","T","Temperature","false","F","true",""
"","3855","html-keyboard-response","5","2.0.0","28471","pmawevtx74m","sloth","z","<div style=""font-size:30pt;"">Heat increases an object's color.</div>","Thermodynamics","F","F","Thermal expansion","true","T","false",""
"","2440","html-keyboard-response","6","2.0.0","31417","pmawevtx74m","sloth","z","<div style=""font-size:30pt;"">Heat increases an object's size.</div>","Thermodynamics","T","F","Thermal expansion","false","T","true",""
"","4718","html-keyboard-response","7","2.0.0","36645","pmawevtx74m","sloth","z","<div style=""font-size:30pt;"">Cold objects transfer heat to even colder objects.</div>","Thermodynamics","T","F","Heat transfer","false","T","true",""
"","3037","html-keyboard-response","8","2.0.0","40193","pmawevtx74m","sloth","m","<div style=""font-size:30pt;"">Coats produce heat.</div>","Thermodynamics","F","T","Heat source","false","F","true",""
"","4530","html-keyboard-response","9","2.0.0","45241","pmawevtx74m","sloth","z","<div style=""font-size:30pt;"">Ice has heat.</div>","Thermodynamics","T","F","Heat","false","T","true",""
"","1117","html-keyboard-response","10","2.0.0","46860","pmawevtx74m","sloth","m","<div style=""font-size:30pt;"">Gravity has heat.</div>","Thermodynamics","F","F","Heat","true","F","true",""
"","919","html-keyboard-response","11","2.0.0","48282","pmawevtx74m","sloth","z","<div style=""font-size:30pt;"">The sun has heat.</div>","Thermodynamics","T","T","Heat","true","T","true",""
"","1840","html-keyboard-response","12","2.0.0","50631","pmawevtx74m","sloth","z","<div style=""font-size:30pt;"">Ice has a lower temperature than water.</div>","Thermodynamics","T","T","Temperature","true","T","true",""
"","1091","html-keyboard-response","13","2.0.0","52233","pmawevtx74m","sloth","m","<div style=""font-size:30pt;"">Rain produces heat.</div>","Thermodynamics","F","F","Heat source","true","F","true",""
"","3206","html-keyboard-response","14","2.0.0","55942","pmawevtx74m","sloth","m","<div style=""font-size:30pt;"">Heat increases an object's weight.</div>","Thermodynamics","F","T","Thermal expansion","false","F","true",""
"","1607","html-keyboard-response","15","2.0.0","58057","pmawevtx74m","sloth","z","<div style=""font-size:30pt;"">Pressure produces heat.</div>","Thermodynamics","T","F","Heat source","false","T","true",""
"","4841","html-keyboard-response","16","2.0.0","63400","pmawevtx74m","sloth","z","<div style=""font-size:30pt;"">Water transfers heat to steam.</div>","Thermodynamics","F","T","Heat transfer","false","T","false",""
"","1746","html-keyboard-response","17","2.0.0","65652","pmawevtx74m","sloth","z","<div style=""font-size:30pt;"">Ovens produce heat.</div>","Thermodynamics","T","T","Heat source","true","T","true",""
