"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"true","2089","fullscreen","0","null","3093","pn8jq73pnhl","penguin","","","","","","","","","",""
"","2501","survey-text","1","2.0.0","5598","pn8jq73pnhl","penguin","{""participant_id"":""penguin""}","","","","","","","","",""
"","28574","html-keyboard-response","2","2.0.0","34175","pn8jq73pnhl","penguin","m","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","","",""
"","3084","html-keyboard-response","3","2.0.0","37260","pn8jq73pnhl","penguin","m","<p>The next 20 statements will be about <b>Astronomy</b>. Press any key to continue.</p>","","","","","","","",""
"","4928","html-keyboard-response","4","2.0.0","42190","pn8jq73pnhl","penguin","t","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Astronomy","T3","T3","AttentionCheck","true","T3","true",""
"","6904","html-keyboard-response","5","2.0.0","49596","pn8jq73pnhl","penguin","m","<div style=""font-size:30pt;"">Planets are more massive than moons.</div>","Astronomy","T","T","Planet","true","F","false",""
"","14210","html-keyboard-response","6","2.0.0","64308","pn8jq73pnhl","penguin","z","<div style=""font-size:30pt;"">Phases of the moon are caused by the moon's orbit.</div>","Astronomy","T","F","Lunar phase","false","T","true",""
"","1679","html-keyboard-response","7","2.0.0","66490","pn8jq73pnhl","penguin","m","<div style=""font-size:30pt;"">Phases of the moon are caused by clouds.</div>","Astronomy","F","F","Lunar phase","true","F","true",""
"","3549","html-keyboard-response","8","2.0.0","70542","pn8jq73pnhl","penguin","m","<div style=""font-size:30pt;"">The sun revolves around the earth.</div>","Astronomy","F","T","Solar system","false","F","true",""
"","1583","html-keyboard-response","9","2.0.0","72628","pn8jq73pnhl","penguin","z","<div style=""font-size:30pt;"">The earth revolves around the sun.</div>","Astronomy","T","F","Solar system","false","T","true",""
"","21397","html-keyboard-response","10","2.0.0","94528","pn8jq73pnhl","penguin","z","<div style=""font-size:30pt;"">Phases of the moon are caused by the earth's shadow.</div>","Astronomy","F","T","Lunar phase","false","T","false",""
"","2090","html-keyboard-response","11","2.0.0","97122","pn8jq73pnhl","penguin","m","<div style=""font-size:30pt;"">The moon produces light.</div>","Astronomy","F","T","Star","false","F","true",""
"","2532","html-keyboard-response","12","2.0.0","100157","pn8jq73pnhl","penguin","m","<div style=""font-size:30pt;"">Stars are more massive than planets.</div>","Astronomy","T","F","Planet","false","F","false",""
"","1687","html-keyboard-response","13","2.0.0","102346","pn8jq73pnhl","penguin","m","<div style=""font-size:30pt;"">Planets are more massive than stars.</div>","Astronomy","F","T","Planet","false","F","true",""
"","7426","html-keyboard-response","14","2.0.0","110274","pn8jq73pnhl","penguin","z","<div style=""font-size:30pt;"">The earth's tilt causes the seasons.</div>","Astronomy","T","F","Season","false","T","true",""
"","6958","html-keyboard-response","15","2.0.0","117735","pn8jq73pnhl","penguin","m","<div style=""font-size:30pt;"">A change in overall sunlight causes the seasons.</div>","Astronomy","T","T","Season","true","F","false",""
"","1909","html-keyboard-response","16","2.0.0","120147","pn8jq73pnhl","penguin","m","<div style=""font-size:30pt;"">The sun produces gravity.</div>","Astronomy","T","F","Star","false","F","false",""
"","2845","html-keyboard-response","17","2.0.0","123494","pn8jq73pnhl","penguin","z","<div style=""font-size:30pt;"">The sun produces light.</div>","Astronomy","T","T","Star","true","T","true",""
"","11667","html-keyboard-response","18","2.0.0","135664","pn8jq73pnhl","penguin","z","<div style=""font-size:30pt;"">Phases of the moon are caused by changes in illumination.</div>","Astronomy","T","T","Lunar phase","true","T","true",""
"","13441","html-keyboard-response","19","2.0.0","149607","pn8jq73pnhl","penguin","z","<div style=""font-size:30pt;"">The earth's rotation causes the seasons.</div>","Astronomy","F","F","Season","true","T","false",""
"","1081","html-keyboard-response","20","2.0.0","151189","pn8jq73pnhl","penguin","m","<div style=""font-size:30pt;"">The sun produces sound.</div>","Astronomy","F","F","Star","true","F","true",""
"","5987","html-keyboard-response","21","2.0.0","157679","pn8jq73pnhl","penguin","m","<div style=""font-size:30pt;"">The moon revolves around the earth.</div>","Astronomy","T","T","Solar system","true","F","false",""
"","3844","html-keyboard-response","22","2.0.0","162031","pn8jq73pnhl","penguin","m","<div style=""font-size:30pt;"">Asteroids are more massive than planets.</div>","Astronomy","F","F","Planet","true","F","true",""
"","1969","html-keyboard-response","23","2.0.0","164498","pn8jq73pnhl","penguin","m","<div style=""font-size:30pt;"">The earth's distance from the sun causes the seasons.</div>","Astronomy","F","T","Season","false","F","true",""
"","6880","html-keyboard-response","24","2.0.0","171866","pn8jq73pnhl","penguin","m","<div style=""font-size:30pt;"">The sun revolves around the moon.</div>","Astronomy","F","F","Solar system","true","F","true",""
"","2788","html-keyboard-response","25","2.0.0","175154","pn8jq73pnhl","penguin","m","<p>The next 20 statements will be about <b>Waves</b>. Press any key to continue.</p>","","","","","","","",""
"","11700","html-keyboard-response","26","2.0.0","186845","pn8jq73pnhl","penguin","m","<div style=""font-size:30pt;"">Black objects reflect all colors of light.</div>","Waves","F","T","Light","false","F","true",""
"","4699","html-keyboard-response","27","2.0.0","192044","pn8jq73pnhl","penguin","t","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Waves","T3","T3","AttentionCheck","true","T3","true",""
"","8436","html-keyboard-response","28","2.0.0","200980","pn8jq73pnhl","penguin","z","<div style=""font-size:30pt;"">Sound travels through a vacuum.</div>","Waves","F","T","Propagation","false","T","false",""
"","1969","html-keyboard-response","29","2.0.0","203451","pn8jq73pnhl","penguin","m","<div style=""font-size:30pt;"">Sounds can be dead or alive.</div>","Waves","F","F","Sound","true","F","true",""
"","29332","html-keyboard-response","30","2.0.0","233281","pn8jq73pnhl","penguin","z","<div style=""font-size:30pt;"">Red objects absorb blue light.</div>","Waves","T","F","Color","false","T","true",""
"","5405","html-keyboard-response","31","2.0.0","239188","pn8jq73pnhl","penguin","z","<div style=""font-size:30pt;"">Rainbows contain all colors of light.</div>","Waves","T","T","Light","true","T","true",""
"","1565","html-keyboard-response","32","2.0.0","241254","pn8jq73pnhl","penguin","m","<div style=""font-size:30pt;"">Mirrors reflect sound.</div>","Waves","T","F","Reflection","false","F","false",""
"","1987","html-keyboard-response","33","2.0.0","243743","pn8jq73pnhl","penguin","m","<div style=""font-size:30pt;"">Red objects reflect red light.</div>","Waves","T","T","Color","true","F","false",""
"","3581","html-keyboard-response","34","2.0.0","247827","pn8jq73pnhl","penguin","m","<div style=""font-size:30pt;"">Red objects reflect blue light.</div>","Waves","F","F","Color","true","F","true",""
"","1631","html-keyboard-response","35","2.0.0","249959","pn8jq73pnhl","penguin","m","<div style=""font-size:30pt;"">Sound travels through metal.</div>","Waves","T","F","Propagation","false","F","false",""
