"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"true","3266","fullscreen","0","null","4271","pnhatsojhc5","pony","","","","","","","","","",""
"","1939","survey-text","1","2.0.0","6228","pnhatsojhc5","pony","{""participant_id"":""pony""}","","","","","","","","",""
"","15413","html-keyboard-response","2","2.0.0","21643","pnhatsojhc5","pony"," ","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","","",""
"","1899","html-keyboard-response","3","2.0.0","23544","pnhatsojhc5","pony"," ","<p>The next 20 statements will be about <b>Waves</b>. Press any key to continue.</p>","","","","","","","",""
"","2652","html-keyboard-response","4","2.0.0","26199","pnhatsojhc5","pony","m","<div style=""font-size:30pt;"">Red objects absorb red light.</div>","Waves","F","T","Color","false","F","true",""
"","1750","html-keyboard-response","5","2.0.0","28452","pnhatsojhc5","pony","z","<div style=""font-size:30pt;"">Red objects reflect red light.</div>","Waves","T","T","Color","true","T","true",""
"","2059","html-keyboard-response","6","2.0.0","31013","pnhatsojhc5","pony","z","<div style=""font-size:30pt;"">Black objects reflect all colors of light.</div>","Waves","F","T","Light","false","T","false",""
"","694","html-keyboard-response","7","2.0.0","32210","pnhatsojhc5","pony","m","<div style=""font-size:30pt;"">Red objects absorb blue light.</div>","Waves","T","F","Color","false","F","false",""
"","324","html-keyboard-response","8","2.0.0","33037","pnhatsojhc5","pony","z","<div style=""font-size:30pt;"">Rainbows contain all colors of light.</div>","Waves","T","T","Light","true","T","true",""
"","262","html-keyboard-response","9","2.0.0","33801","pnhatsojhc5","pony","m","<div style=""font-size:30pt;"">Shadows contain all colors of light.</div>","Waves","F","F","Light","true","F","true",""
"","270","html-keyboard-response","10","2.0.0","34573","pnhatsojhc5","pony","m","<div style=""font-size:30pt;"">Sound travels through foam.</div>","Waves","F","F","Propagation","true","F","true",""
"","286","html-keyboard-response","11","2.0.0","35362","pnhatsojhc5","pony","z","<div style=""font-size:30pt;"">Sounds can be dead or alive.</div>","Waves","F","F","Sound","true","T","false",""
"","417","html-keyboard-response","12","2.0.0","36281","pnhatsojhc5","pony","z","<div style=""font-size:30pt;"">Sounds can be near or far.</div>","Waves","F","T","Sound","false","T","false",""
"","469","html-keyboard-response","13","2.0.0","37253","pnhatsojhc5","pony","m","<div style=""font-size:30pt;"">Sound travels through air.</div>","Waves","T","T","Propagation","true","F","false",""
"","532","html-keyboard-response","14","2.0.0","38288","pnhatsojhc5","pony","m","<div style=""font-size:30pt;"">Mirrors reflect light.</div>","Waves","T","T","Reflection","true","F","false",""
"","2354","html-keyboard-response","15","2.0.0","41144","pnhatsojhc5","pony","t","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Waves","T3","T3","AttentionCheck","true","T3","true",""
"","3971","html-keyboard-response","16","2.0.0","45617","pnhatsojhc5","pony","z","<div style=""font-size:30pt;"">Sounds can be loud or quiet.</div>","Waves","T","T","Sound","true","T","true",""
