"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"true","2586","fullscreen","0","null","3597","pp5t65dfqxq","squirrel","","","","","","","","","",""
"","4219","survey-text","1","2.0.0","7826","pp5t65dfqxq","squirrel","{""participant_id"":""squirrel""}","","","","","","","","",""
"","1862","html-keyboard-response","2","2.0.0","9691","pp5t65dfqxq","squirrel"," ","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","","",""
"","972","html-keyboard-response","3","2.0.0","10665","pp5t65dfqxq","squirrel"," ","<p>The next 20 statements will be about <b>Evolution</b>. Press any key to continue.</p>","","","","","","","",""
"","1935","html-keyboard-response","4","2.0.0","12602","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Most organisms have plenty to eat.</div>","Evolution","F","T","Selection","false","T","false",""
"","2150","html-keyboard-response","5","2.0.0","15263","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Apes are more closely related to monkeys than humans.</div>","Evolution","F","T","Common ancestry","false","T","false",""
"","1682","html-keyboard-response","6","2.0.0","17451","pp5t65dfqxq","squirrel","m","<div style=""font-size:30pt;"">Evolution requires climate stability.</div>","Evolution","F","F","Variation","true","F","true",""
"","1508","html-keyboard-response","7","2.0.0","19473","pp5t65dfqxq","squirrel","m","<div style=""font-size:30pt;"">Whales are more closely related to humans than fish.</div>","Evolution","T","F","Common ancestry","false","F","false",""
"","1023","html-keyboard-response","8","2.0.0","20999","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Biological species evolve.</div>","Evolution","T","T","Adaptation","true","T","true",""
"","814","html-keyboard-response","9","2.0.0","22316","pp5t65dfqxq","squirrel","m","<div style=""font-size:30pt;"">Inanimate objects evolve.</div>","Evolution","F","F","Adaptation","true","F","true",""
"","1314","html-keyboard-response","10","2.0.0","24155","pp5t65dfqxq","squirrel","m","<div style=""font-size:30pt;"">Whales are more closely related to plants than fish.</div>","Evolution","F","F","Common ancestry","true","F","true",""
"","1141","html-keyboard-response","11","2.0.0","25801","pp5t65dfqxq","squirrel","t","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Evolution","T3","T3","AttentionCheck","true","T3","true",""
"","1668","html-keyboard-response","12","2.0.0","27973","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Evolution requires long periods of time.</div>","Evolution","F","T","Variation","false","T","false",""
"","1274","html-keyboard-response","13","2.0.0","29751","pp5t65dfqxq","squirrel","m","<div style=""font-size:30pt;"">Humans are descended from sea-dwelling creatures.</div>","Evolution","T","F","Phylogeny","false","F","false",""
"","1832","html-keyboard-response","14","2.0.0","32094","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Most organisms are adapted to their environment.</div>","Evolution","T","T","Selection","true","T","true",""
"","1034","html-keyboard-response","15","2.0.0","33634","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Humans are descended from tree-dwelling creatures.</div>","Evolution","T","T","Phylogeny","true","T","true",""
"","1606","html-keyboard-response","16","2.0.0","35759","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Humans are more closely related to apes than monkeys.</div>","Evolution","T","T","Common ancestry","true","T","true",""
"","1135","html-keyboard-response","17","2.0.0","37403","pp5t65dfqxq","squirrel","m","<div style=""font-size:30pt;"">Humans are descended from plants.</div>","Evolution","F","F","Phylogeny","true","F","true",""
"","785","html-keyboard-response","18","2.0.0","38704","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Computer viruses evolve.</div>","Evolution","T","F","Adaptation","false","T","true",""
"","825","html-keyboard-response","19","2.0.0","40046","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Individual organisms evolve.</div>","Evolution","F","T","Adaptation","false","T","false",""
"","2032","html-keyboard-response","20","2.0.0","42593","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Most organisms die before leaving offspring.</div>","Evolution","T","F","Selection","false","T","true",""
"","3764","html-keyboard-response","21","2.0.0","46870","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Humans are descended from chimpanzees.</div>","Evolution","F","T","Phylogeny","false","T","false",""
"","1687","html-keyboard-response","22","2.0.0","49063","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Most organisms live in temperate climates.</div>","Evolution","F","F","Selection","true","T","false",""
"","1466","html-keyboard-response","23","2.0.0","51043","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Evolution requires within-species variation.</div>","Evolution","T","F","Variation","false","T","true",""
"","1639","html-keyboard-response","24","2.0.0","53197","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Evolution requires differential survival.</div>","Evolution","T","T","Variation","true","T","true",""
"","713","html-keyboard-response","25","2.0.0","54426","pp5t65dfqxq","squirrel"," ","<p>The next 20 statements will be about <b>Waves</b>. Press any key to continue.</p>","","","","","","","",""
"","2559","html-keyboard-response","26","2.0.0","56988","pp5t65dfqxq","squirrel","m","<div style=""font-size:30pt;"">Shadows contain all colors of light.</div>","Waves","F","F","Light","true","F","true",""
"","1416","html-keyboard-response","27","2.0.0","58911","pp5t65dfqxq","squirrel","m","<div style=""font-size:30pt;"">Foam reflects sound.</div>","Waves","F","F","Reflection","true","F","true",""
"","2185","html-keyboard-response","28","2.0.0","61603","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">White light contains all colors of light.</div>","Waves","T","F","Light","false","T","true",""
"","1283","html-keyboard-response","29","2.0.0","63393","pp5t65dfqxq","squirrel","m","<div style=""font-size:30pt;"">Red objects absorb red light.</div>","Waves","F","T","Color","false","F","true",""
"","1148","html-keyboard-response","30","2.0.0","65052","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Red objects reflect red light.</div>","Waves","T","T","Color","true","T","true",""
"","2042","html-keyboard-response","31","2.0.0","67601","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Sounds can be near or far.</div>","Waves","F","T","Sound","false","T","false",""
"","1172","html-keyboard-response","32","2.0.0","69279","pp5t65dfqxq","squirrel","t","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Waves","T3","T3","AttentionCheck","true","T3","true",""
"","1041","html-keyboard-response","33","2.0.0","70837","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Sounds can be direct or reflected.</div>","Waves","T","F","Sound","false","T","true",""
"","924","html-keyboard-response","34","2.0.0","72273","pp5t65dfqxq","squirrel","m","<div style=""font-size:30pt;"">Sounds can be dead or alive.</div>","Waves","F","F","Sound","true","F","true",""
"","1042","html-keyboard-response","35","2.0.0","73819","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Sound travels through a vacuum.</div>","Waves","F","T","Propagation","false","T","false",""
"","1021","html-keyboard-response","36","2.0.0","75357","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Rainbows contain all colors of light.</div>","Waves","T","T","Light","true","T","true",""
"","842","html-keyboard-response","37","2.0.0","76707","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Mirrors reflect light.</div>","Waves","T","T","Reflection","true","T","true",""
"","2671","html-keyboard-response","38","2.0.0","79890","pp5t65dfqxq","squirrel","m","<div style=""font-size:30pt;"">Black objects reflect all colors of light.</div>","Waves","F","T","Light","false","F","true",""
"","832","html-keyboard-response","39","2.0.0","81236","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Prisms reflect light.</div>","Waves","F","T","Reflection","false","T","false",""
"","1466","html-keyboard-response","40","2.0.0","83213","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Sounds can be loud or quiet.</div>","Waves","T","T","Sound","true","T","true",""
"","1144","html-keyboard-response","41","2.0.0","84874","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Sound travels through foam.</div>","Waves","F","F","Propagation","true","T","false",""
"","1222","html-keyboard-response","42","2.0.0","86603","pp5t65dfqxq","squirrel","m","<div style=""font-size:30pt;"">Red objects reflect blue light.</div>","Waves","F","F","Color","true","F","true",""
"","929","html-keyboard-response","43","2.0.0","88035","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Sound travels through air.</div>","Waves","T","T","Propagation","true","T","true",""
"","1041","html-keyboard-response","44","2.0.0","89590","pp5t65dfqxq","squirrel","z","<div style=""font-size:30pt;"">Sound travels through metal.</div>","Waves","T","F","Propagation","false","T","true",""
"","2066","html-keyboard-response","45","2.0.0","92174","pp5t65dfqxq","squirrel","m","<div style=""font-size:30pt;"">Mirrors reflect sound.</div>","Waves","T","F","Reflection","false","F","false",""
