"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"true","5140","fullscreen","0","null","6144","pq1360ycbhn","ladybug","","","","","","","","","",""
"","21486","survey-text","1","2.0.0","27638","pq1360ycbhn","ladybug","{""participant_id"":""ladybug""}","","","","","","","","",""
"","21969","html-keyboard-response","2","2.0.0","49610","pq1360ycbhn","ladybug"," ","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","","",""
"","2329","html-keyboard-response","3","2.0.0","51941","pq1360ycbhn","ladybug"," ","<p>The next 20 statements will be about <b>Waves</b>. Press any key to continue.</p>","","","","","","","",""
"","6299","html-keyboard-response","4","2.0.0","58243","pq1360ycbhn","ladybug","z","<div style=""font-size:30pt;"">Sound travels through a vacuum.</div>","Waves","F","T","Propagation","false","T","false",""
"","4159","html-keyboard-response","5","2.0.0","62906","pq1360ycbhn","ladybug","m","<div style=""font-size:30pt;"">Shadows contain all colors of light.</div>","Waves","F","F","Light","true","F","true",""
"","4304","html-keyboard-response","6","2.0.0","67712","pq1360ycbhn","ladybug","z","<div style=""font-size:30pt;"">Sounds can be direct or reflected.</div>","Waves","T","F","Sound","false","T","true",""
"","2300","html-keyboard-response","7","2.0.0","70514","pq1360ycbhn","ladybug","z","<div style=""font-size:30pt;"">Mirrors reflect light.</div>","Waves","T","T","Reflection","true","T","true",""
"","4025","html-keyboard-response","8","2.0.0","75042","pq1360ycbhn","ladybug","z","<div style=""font-size:30pt;"">Red objects absorb red light.</div>","Waves","F","T","Color","false","T","false",""
"","3653","html-keyboard-response","9","2.0.0","79198","pq1360ycbhn","ladybug","m","<div style=""font-size:30pt;"">Sound travels through air.</div>","Waves","T","T","Propagation","true","F","false",""
