"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"true","5661","fullscreen","0","null","6665","prsuqrgvyz9","gazelle","","","","","","","","","",""
"","4490","survey-text","1","2.0.0","11170","prsuqrgvyz9","gazelle","{""participant_id"":""gazelle""}","","","","","","","","",""
"","12793","html-keyboard-response","2","2.0.0","23965","prsuqrgvyz9","gazelle"," ","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","","",""
"","3079","html-keyboard-response","3","2.0.0","27044","prsuqrgvyz9","gazelle"," ","<p>The next 20 statements will be about <b>Astronomy</b>. Press any key to continue.</p>","","","","","","","",""
"","4877","html-keyboard-response","4","2.0.0","31924","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Astronomy","T3","T3","AttentionCheck","true","T","false",""
"","17047","html-keyboard-response","5","2.0.0","49474","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">A change in overall sunlight causes the seasons.</div>","Astronomy","T","T","Season","true","T","true",""
"","1871","html-keyboard-response","6","2.0.0","51849","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">The sun revolves around the earth.</div>","Astronomy","F","T","Solar system","false","T","false",""
"","5207","html-keyboard-response","7","2.0.0","57559","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">Planets are more massive than moons.</div>","Astronomy","T","T","Planet","true","T","true",""
"","2368","html-keyboard-response","8","2.0.0","60431","prsuqrgvyz9","gazelle","m","<div style=""font-size:30pt;"">Phases of the moon are caused by clouds.</div>","Astronomy","F","F","Lunar phase","true","F","true",""
"","2217","html-keyboard-response","9","2.0.0","63151","prsuqrgvyz9","gazelle","m","<div style=""font-size:30pt;"">The moon produces light.</div>","Astronomy","F","T","Star","false","F","true",""
"","855","html-keyboard-response","10","2.0.0","64508","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">The sun produces light.</div>","Astronomy","T","T","Star","true","T","true",""
"","4683","html-keyboard-response","11","2.0.0","69694","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">Planets are more massive than stars.</div>","Astronomy","F","T","Planet","false","T","false",""
"","8298","html-keyboard-response","12","2.0.0","78496","prsuqrgvyz9","gazelle","m","<div style=""font-size:30pt;"">The sun produces gravity.</div>","Astronomy","T","F","Star","false","F","false",""
"","2196","html-keyboard-response","13","2.0.0","81195","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">The earth revolves around the sun.</div>","Astronomy","T","F","Solar system","false","T","true",""
"","2314","html-keyboard-response","14","2.0.0","84011","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">The earth's rotation causes the seasons.</div>","Astronomy","F","F","Season","true","T","false",""
"","4457","html-keyboard-response","15","2.0.0","88970","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">The moon revolves around the earth.</div>","Astronomy","T","T","Solar system","true","T","true",""
"","3514","html-keyboard-response","16","2.0.0","92987","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">Phases of the moon are caused by the earth's shadow.</div>","Astronomy","F","T","Lunar phase","false","T","false",""
"","4437","html-keyboard-response","17","2.0.0","97927","prsuqrgvyz9","gazelle","m","<div style=""font-size:30pt;"">Stars are more massive than planets.</div>","Astronomy","T","F","Planet","false","F","false",""
"","5776","html-keyboard-response","18","2.0.0","104205","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">The earth's distance from the sun causes the seasons.</div>","Astronomy","F","T","Season","false","T","false",""
"","3224","html-keyboard-response","19","2.0.0","107931","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">Phases of the moon are caused by the moon's orbit.</div>","Astronomy","T","F","Lunar phase","false","T","true",""
"","9267","html-keyboard-response","20","2.0.0","117701","prsuqrgvyz9","gazelle","m","<div style=""font-size:30pt;"">The sun revolves around the moon.</div>","Astronomy","F","F","Solar system","true","F","true",""
"","6982","html-keyboard-response","21","2.0.0","125185","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">Phases of the moon are caused by changes in illumination.</div>","Astronomy","T","T","Lunar phase","true","T","true",""
"","2022","html-keyboard-response","22","2.0.0","127711","prsuqrgvyz9","gazelle","m","<div style=""font-size:30pt;"">Asteroids are more massive than planets.</div>","Astronomy","F","F","Planet","true","F","true",""
"","3550","html-keyboard-response","23","2.0.0","131763","prsuqrgvyz9","gazelle","m","<div style=""font-size:30pt;"">The sun produces sound.</div>","Astronomy","F","F","Star","true","F","true",""
"","3141","html-keyboard-response","24","2.0.0","135408","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">The earth's tilt causes the seasons.</div>","Astronomy","T","F","Season","false","T","true",""
"","2017","html-keyboard-response","25","2.0.0","137928","prsuqrgvyz9","gazelle"," ","<p>The next 20 statements will be about <b>Mechanics</b>. Press any key to continue.</p>","","","","","","","",""
"","1918","html-keyboard-response","26","2.0.0","139849","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Mechanics","T3","T3","AttentionCheck","true","T","false",""
"","11923","html-keyboard-response","27","2.0.0","152275","prsuqrgvyz9","gazelle","m","<div style=""font-size:30pt;"">A moving bullet loses force.</div>","Mechanics","F","T","Velocity","false","F","true",""
"","5058","html-keyboard-response","28","2.0.0","157835","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">Forces can be balanced or unbalanced.</div>","Mechanics","T","F","Force","false","T","true",""
"","4458","html-keyboard-response","29","2.0.0","162796","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">Heavy balls fall through air faster than light balls.</div>","Mechanics","F","T","Gravity","false","T","false",""
"","3771","html-keyboard-response","30","2.0.0","167070","prsuqrgvyz9","gazelle","m","<div style=""font-size:30pt;"">Color can be transferred from one object to another.</div>","Mechanics","F","F","Momentum","true","F","true",""
"","4547","html-keyboard-response","31","2.0.0","172121","prsuqrgvyz9","gazelle","m","<div style=""font-size:30pt;"">Bright objects fall through air faster than dark objects.</div>","Mechanics","F","F","Gravity","true","F","true",""
"","4577","html-keyboard-response","32","2.0.0","177201","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">A moving bullet loses height.</div>","Mechanics","T","F","Velocity","false","T","true",""
"","3577","html-keyboard-response","33","2.0.0","181281","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">Energy can be transferred from one object to another.</div>","Mechanics","T","F","Momentum","false","T","true",""
"","4337","html-keyboard-response","34","2.0.0","186121","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">Constant force can yield constant rest.</div>","Mechanics","T","F","Acceleration","false","T","true",""
"","2008","html-keyboard-response","35","2.0.0","188633","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">Constant speed requires constant acceleration.</div>","Mechanics","F","F","Acceleration","true","T","false",""
"","5452","html-keyboard-response","36","2.0.0","194588","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">Momentum can be transferred from one object to another.</div>","Mechanics","T","T","Momentum","true","T","true",""
"","1540","html-keyboard-response","37","2.0.0","196632","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">Forces can be straight or curved.</div>","Mechanics","F","T","Force","false","T","false",""
"","4135","html-keyboard-response","38","2.0.0","201269","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">Anvils fall through air faster than feathers.</div>","Mechanics","T","T","Gravity","true","T","true",""
"","7369","html-keyboard-response","39","2.0.0","209141","prsuqrgvyz9","gazelle","z","<div style=""font-size:30pt;"">Constant acceleration requires constant force.</div>","Mechanics","T","T","Acceleration","true","T","true",""
