"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"true","1433","fullscreen","0","null","2452","prtgoaj6uqx","jaguar","","","","","","","","","",""
"","2712","survey-text","1","2.0.0","5174","prtgoaj6uqx","jaguar","{""participant_id"":""jaguar""}","","","","","","","","",""
"","7137","html-keyboard-response","2","2.0.0","12313","prtgoaj6uqx","jaguar"," ","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","","",""
"","2937","html-keyboard-response","3","2.0.0","15252","prtgoaj6uqx","jaguar"," ","<p>The next 20 statements will be about <b>Matter</b>. Press any key to continue.</p>","","","","","","","",""
"","2748","html-keyboard-response","4","2.0.0","18004","prtgoaj6uqx","jaguar","t","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Matter","T3","T3","AttentionCheck","true","T3","true",""
"","1791","html-keyboard-response","5","2.0.0","20305","prtgoaj6uqx","jaguar","z","<div style=""font-size:30pt;"">Rocks are composed of matter.</div>","Matter","T","T","Mass","true","T","true",""
"","2338","html-keyboard-response","6","2.0.0","23146","prtgoaj6uqx","jaguar","z","<div style=""font-size:30pt;"">A grain of sand can be cut in half.</div>","Matter","T","F","Divisibility","false","T","true",""
"","1384","html-keyboard-response","7","2.0.0","25041","prtgoaj6uqx","jaguar","m","<div style=""font-size:30pt;"">A shadow can be cut in half.</div>","Matter","F","T","Divisibility","false","F","true",""
"","6865","html-keyboard-response","8","2.0.0","32413","prtgoaj6uqx","jaguar","z","<div style=""font-size:30pt;"">A cold penny is denser than a hot penny.</div>","Matter","T","F","Density","false","T","true",""
"","1886","html-keyboard-response","9","2.0.0","34808","prtgoaj6uqx","jaguar","m","<div style=""font-size:30pt;"">An idea can be cut in half.</div>","Matter","F","F","Divisibility","true","F","true",""
"","1822","html-keyboard-response","10","2.0.0","37133","prtgoaj6uqx","jaguar","m","<div style=""font-size:30pt;"">A pound of steel weighs more than a pound of feathers.</div>","Matter","F","T","Weight","false","F","true",""
"","2490","html-keyboard-response","11","2.0.0","40140","prtgoaj6uqx","jaguar","z","<div style=""font-size:30pt;"">Atoms are mostly empty space.</div>","Matter","T","F","Atom","false","T","true",""
"","1417","html-keyboard-response","12","2.0.0","42064","prtgoaj6uqx","jaguar","z","<div style=""font-size:30pt;"">A log can be cut in half.</div>","Matter","T","T","Divisibility","true","T","true",""
"","2934","html-keyboard-response","13","2.0.0","45508","prtgoaj6uqx","jaguar","m","<div style=""font-size:30pt;"">A pound of steel weighs more than a ton of steel.</div>","Matter","F","F","Weight","true","F","true",""
"","1968","html-keyboard-response","14","2.0.0","47984","prtgoaj6uqx","jaguar","m","<div style=""font-size:30pt;"">Foam is denser than brick.</div>","Matter","F","F","Density","true","F","true",""
"","2718","html-keyboard-response","15","2.0.0","51205","prtgoaj6uqx","jaguar","m","<div style=""font-size:30pt;"">Atoms are weightless.</div>","Matter","F","T","Atom","false","F","true",""
"","6190","html-keyboard-response","16","2.0.0","57909","prtgoaj6uqx","jaguar","z","<div style=""font-size:30pt;"">A liter of water weighs more than a liter of air.</div>","Matter","T","T","Weight","true","T","true",""
"","4997","html-keyboard-response","17","2.0.0","63418","prtgoaj6uqx","jaguar","m","<div style=""font-size:30pt;"">A liter of water weighs more than a liter of ice.</div>","Matter","T","F","Weight","false","F","false",""
"","1899","html-keyboard-response","18","2.0.0","65822","prtgoaj6uqx","jaguar","z","<div style=""font-size:30pt;"">Steel is denser than foam.</div>","Matter","T","T","Density","true","T","true",""
"","1689","html-keyboard-response","19","2.0.0","68030","prtgoaj6uqx","jaguar","m","<div style=""font-size:30pt;"">Numbers are composed of matter.</div>","Matter","F","F","Mass","true","F","true",""
"","4232","html-keyboard-response","20","2.0.0","72767","prtgoaj6uqx","jaguar","m","<div style=""font-size:30pt;"">Ice is denser than water.</div>","Matter","F","T","Density","false","F","true",""
"","1383","html-keyboard-response","21","2.0.0","74657","prtgoaj6uqx","jaguar","z","<div style=""font-size:30pt;"">Atoms are the constituents of matter.</div>","Matter","T","T","Atom","true","T","true",""
"","1767","html-keyboard-response","22","2.0.0","76927","prtgoaj6uqx","jaguar","m","<div style=""font-size:30pt;"">Fire is composed of matter.</div>","Matter","F","T","Mass","false","F","true",""
"","4549","html-keyboard-response","23","2.0.0","81987","prtgoaj6uqx","jaguar","z","<div style=""font-size:30pt;"">Atoms are visible to the naked eye.</div>","Matter","F","F","Atom","true","T","false",""
