"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"true","42138","fullscreen","0","null","43141","psql7uvj5l6","raccoon","","","","","","","","","",""
"","2252","survey-text","1","2.0.0","45397","psql7uvj5l6","raccoon","{""participant_id"":""raccoon""}","","","","","","","","",""
"","2739","html-keyboard-response","2","2.0.0","48137","psql7uvj5l6","raccoon","z","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","","",""
"","1117","html-keyboard-response","3","2.0.0","49255","psql7uvj5l6","raccoon","m","<p>The next 20 statements will be about <b>Mechanics</b>. Press any key to continue.</p>","","","","","","","",""
"","1139","html-keyboard-response","4","2.0.0","50396","psql7uvj5l6","raccoon","z","<div style=""font-size:30pt;"">Energy can be transferred from one object to another.</div>","Mechanics","T","F","Momentum","false","T","true",""
"","1157","html-keyboard-response","5","2.0.0","52055","psql7uvj5l6","raccoon","z","<div style=""font-size:30pt;"">Momentum can be transferred from one object to another.</div>","Mechanics","T","T","Momentum","true","T","true",""
"","2733","html-keyboard-response","6","2.0.0","55290","psql7uvj5l6","raccoon","z","<div style=""font-size:30pt;"">Pointy objects fall through air faster than flat objects.</div>","Mechanics","T","F","Gravity","false","T","true",""
"","2161","html-keyboard-response","7","2.0.0","57953","psql7uvj5l6","raccoon","z","<div style=""font-size:30pt;"">A moving bullet loses height.</div>","Mechanics","T","F","Velocity","false","T","true",""
"","1684","html-keyboard-response","8","2.0.0","60139","psql7uvj5l6","raccoon","m","<div style=""font-size:30pt;"">Forces can be male or female.</div>","Mechanics","F","F","Force","true","F","true",""
"","5034","html-keyboard-response","9","2.0.0","65676","psql7uvj5l6","raccoon","z","<div style=""font-size:30pt;"">Constant acceleration requires constant force.</div>","Mechanics","T","T","Acceleration","true","T","true",""
"","1139","html-keyboard-response","10","2.0.0","67317","psql7uvj5l6","raccoon","z","<div style=""font-size:30pt;"">A moving bullet loses speed.</div>","Mechanics","T","T","Velocity","true","T","true",""
"","2815","html-keyboard-response","11","2.0.0","70634","psql7uvj5l6","raccoon","m","<div style=""font-size:30pt;"">Bright objects fall through air faster than dark objects.</div>","Mechanics","F","F","Gravity","true","F","true",""
"","2427","html-keyboard-response","12","2.0.0","73563","psql7uvj5l6","raccoon","m","<div style=""font-size:30pt;"">Constant motion requires constant force.</div>","Mechanics","F","T","Acceleration","false","F","true",""
"","2785","html-keyboard-response","13","2.0.0","76850","psql7uvj5l6","raccoon","m","<div style=""font-size:30pt;"">Constant speed requires constant acceleration.</div>","Mechanics","F","F","Acceleration","true","F","true",""
"","1385","html-keyboard-response","14","2.0.0","78738","psql7uvj5l6","raccoon","z","<div style=""font-size:30pt;"">Forces can be strong or weak.</div>","Mechanics","T","T","Force","true","T","true",""
"","6051","html-keyboard-response","15","2.0.0","85290","psql7uvj5l6","raccoon","z","<div style=""font-size:30pt;"">Constant force can yield constant rest.</div>","Mechanics","T","F","Acceleration","false","T","true",""
