"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","response_tf","correct","question_order"
"true","1000","fullscreen","0","null","2007","pty9n7wuphe","camel","","","","","","","","","",""
"","2943","survey-text","1","2.0.0","4959","pty9n7wuphe","camel","{""participant_id"":""camel""}","","","","","","","","",""
"","4148","html-keyboard-response","2","2.0.0","9109","pty9n7wuphe","camel"," ","<p>Welcome to the experiment.<br><br>You will see 140 statements about various topics.<br><br>Please read the statements and respond with whether you think they are <b>true (Z key)</b> or <b>false (M key)</b> as quickly as possible!<br><br>Press any key to begin.</p>","","","","","","","",""
"","1507","html-keyboard-response","3","2.0.0","10618","pty9n7wuphe","camel"," ","<p>The next 20 statements will be about <b>Thermodynamics</b>. Press any key to continue.</p>","","","","","","","",""
"","3396","html-keyboard-response","4","2.0.0","14019","pty9n7wuphe","camel","m","<div style=""font-size:30pt;"">Coats produce heat.</div>","Thermodynamics","F","T","Heat source","false","F","true",""
"","716","html-keyboard-response","5","2.0.0","15251","pty9n7wuphe","camel","z","<div style=""font-size:30pt;"">Atoms have heat.</div>","Thermodynamics","F","T","Heat","false","T","false",""
"","4729","html-keyboard-response","6","2.0.0","20495","pty9n7wuphe","camel","z","<div style=""font-size:30pt;"">Cold objects transfer heat to even colder objects.</div>","Thermodynamics","T","F","Heat transfer","false","T","true",""
"","865","html-keyboard-response","7","2.0.0","21872","pty9n7wuphe","camel","m","<div style=""font-size:30pt;"">Rain produces heat.</div>","Thermodynamics","F","F","Heat source","true","F","true",""
"","3192","html-keyboard-response","8","2.0.0","25586","pty9n7wuphe","camel","m","<div style=""font-size:30pt;"">Water transfers heat to ice.</div>","Thermodynamics","T","T","Heat transfer","true","F","false",""
"","1521","html-keyboard-response","9","2.0.0","27626","pty9n7wuphe","camel","z","<div style=""font-size:30pt;"">Ice has a lower temperature than water.</div>","Thermodynamics","T","T","Temperature","true","T","true",""
"","1944","html-keyboard-response","10","2.0.0","30074","pty9n7wuphe","camel","z","<div style=""font-size:30pt;"">Heat increases an object's weight.</div>","Thermodynamics","F","T","Thermal expansion","false","T","false",""
"","834","html-keyboard-response","11","2.0.0","31427","pty9n7wuphe","camel","m","<div style=""font-size:30pt;"">Gravity has heat.</div>","Thermodynamics","F","F","Heat","true","F","true",""
"","1235","html-keyboard-response","12","2.0.0","33179","pty9n7wuphe","camel","m","<div style=""font-size:30pt;"">Ice has heat.</div>","Thermodynamics","T","F","Heat","false","F","false",""
"","83","html-keyboard-response","13","2.0.0","33777","pty9n7wuphe","camel","m","<div style=""font-size:30pt;"">Ovens produce heat.</div>","Thermodynamics","T","T","Heat source","true","F","false",""
"","178","html-keyboard-response","14","2.0.0","34458","pty9n7wuphe","camel","z","<div style=""font-size:30pt;"">Boiling water has a lower temperature than steam.</div>","Thermodynamics","T","F","Temperature","false","T","true",""
"","821","html-keyboard-response","15","2.0.0","35782","pty9n7wuphe","camel","z","<div style=""font-size:30pt;"">The sun has heat.</div>","Thermodynamics","T","T","Heat","true","T","true",""
"","1333","html-keyboard-response","16","2.0.0","37624","pty9n7wuphe","camel","z","<div style=""font-size:30pt;"">Heat increases an object's size.</div>","Thermodynamics","T","F","Thermal expansion","false","T","true",""
"","1867","html-keyboard-response","17","2.0.0","40003","pty9n7wuphe","camel","z","<div style=""font-size:30pt;"">Cold objects transfer heat to warm objects.</div>","Thermodynamics","F","F","Heat transfer","true","T","false",""
